Country;Age;Sex;Asymptomatic;Mild;Hospitalised;Severely hospitalised;Fatal
Germany;51;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;52;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;52;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;53;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;53;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;54;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;54;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;55;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;55;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;56;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;56;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;57;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;57;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;58;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;58;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;59;F;0,2447296093845960000;0,7094414076894730000;0,0408234553494657000;0,0025296339516030000;0,0024758936248618100
Germany;59;M;0,2330954038280150000;0,6413217049502520000;0,0607687937599803000;0,0067482496007861400;0,0058922429676943900
Germany;60;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;60;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;61;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;61;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;62;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;62;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
Germany;63;F;0,2276998317506490000;0,6560084980180800000;0,0943194456326461000;0,0082841417857244700;0,0136880828129010000
Germany;63;M;0,1935018959799630000;0,6283329055807450000;0,1422491231071950000;0,0199974334844726000;0,0312473265463256000
